"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date"
"11","US",52027882,"RC9AW4HKJ016M","B0091ITP0S",977217357,"HDE Rotating iPad Case Magnetic Folding Leather Cover Folio Flip Stand for Apple iPad 2 iPad 3 iPad 4 (Purple Embossed)","PC",1,0,0,"N","Y","One Star","IT HAS ALREADY CRACKED AT ONE OF THE CORNERS.",2015-08-31
"12","US",41770239,"R2ALWJE9N6ZBXD","B008I21EA2",295632907,"Linksys AC1750 Wi-Fi Wireless Dual-Band+ Router with Gigabit, Smart Wi-Fi App Enabled to Control Your Network from Anywhere (EA6500)","PC",1,0,0,"N","N","Very Disappointed","Very disappointed the range of the router is very poor no more than 6mts, bought this to substitute the carrier default modem but the one of the carrier has more range.",2015-08-31
"13","US",42560427,"R2G5FPA4OX37GV","B00MRB7SBO",922591915,"iPad Pro 9.7, iPad mini, iPad 234 & iPad Air / Air 2 Tripod Mount Holder + Extendable Camera Tripod Adapter with 360° Med. Locking Ball Head / Hand-Held Monopod Works with Case or Without Case","PC",5,1,1,"N","Y","Five Stars","Works well. I use this for my Skype meetings.",2015-08-31
"14","US",46345923,"R1IKTSEVXSIMOD","B00LLER2CS",997551273,"SanDisk 16GB CZ43 Ultra Fit Series USB 3.0 Flash Drive (SDCZ43-016G-G46)","PC",5,0,0,"N","Y","The encryption software that comes preloaded is really easy to use","The encryption software that comes preloaded is really easy to use, I wasn't expecting it to be on there, so that was a bonus.",2015-08-31
"15","US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","I have owned this router for less than 2 years (purchased in November 2013). The range and speed was acceptable, although, for the price I would have liked better. This would probably have been a 3 or 4 star review except, as of mid July, 2015, it has stopped working properly. One day, out of the blue, it no longer provided an internet connection. The wireless network still exists but all devices attached show no internet connection. The same happens for any devices connected via Ethernet through the router. I have tried all the following in troubleshooting:<br />1: connected straight to the modem and had an internet connection.<br />2: Reset to factory settings and connected to default network but no internet.<br />3: Connected replacement router via same ethernet cable to the modem and it provided internet without issue.<br />4: checked router, power adapter, and Ethernet cable for any signs of damage (we have a cat) but none exist.<br /><br />So, As a result, I am rather upset that this product did not even last 2 years. I paid $135 for this thing new. It I had wanted a disposable product i would have spent 30 bucks on a cheap wireless N router and called it a day.<br /><br />If anyone knows of a fix or something for this issue, I will try it and gladly take this up to 3 or so stars but for the time being, I really believe it deserves one star.",2015-08-31
"16","US",21176481,"RS9H1N9I3Z1IA","B00GU8W5AE",13865167,"Redragon M901 PERDITION 16400 DPI High-Precision Programmable Laser Gaming Mouse for PC, MMO, 18 Programmable Buttons, Weight Tuning Cartridge, 12 Side Buttons, 5 programmable user profiles, Omron Micro Switches (White)","PC",5,0,0,"N","Y","Awesome gaming mouse","My first gaming mouse, and this thing is cool! You can customize the dpi, colors, buttons. Mouse is comfortable. With some tweaks on the DPI settings, this mouse is absolutely perfect. 10/10 would buy again. 11/10 with rice",2015-08-31
"17","US",10674058,"RKKLBI76VTDNT","B00XHMXJQ0",967483469,"Mudder MHL Adapter Kit 6.5 Feet/ 2M Micro USB to HDMI Cable 1080p HDTV, Push from Smartphone to TV Multi Control/ Wiplug Cable Converter for Samsung Galaxy S5 S4 S3 Note 4 SM-N910A Galaxy Tab 3 8.0 T310 HTC LG Sony","PC",1,0,0,"N","Y","One Star","I cannot get it to work",2015-08-31
"18","US",43341796,"R2NJ3WFUS4E5G6","B00YGJJQ6U",986548413,"Fintie iPad Air 2 Case (2014 Release) - 360 Degree Rotating Stand Protective Case Smart Cover with Auto Sleep / Wake Feature","PC",4,0,0,"N","Y","Great choices of covers but no Auto-shut off or on","Love that Finite makes different designs and that the grooves are pretty deep to hold the IPad Air up. That's why I bought the case. But...the auto awake and shut off does not work with my case and not sure why. So I have to set auto-lock in the iPad settings just so it shuts off with inactivity.",2015-08-31
"19","US",13232866,"R21PTQNLGCBN0I","B00XMN20Y6",873354048,"Fintie iPad 2/3/4 Case - Slim Fit Folio Case with Smart Cover Auto Sleep / Wake Feature for Apple iPad 2, iPad 3 & iPad 4th Generation with Retina Display - Floral Fan Purple","PC",5,0,0,"N","Y","Five Stars","Nice color, I love it",2015-08-31
"20","US",29333557,"R3G4RT3EQ9RSY7","B00MA40W9I",535866197,"Egoway® New Laptop Battery for Apple A1309 A1297 Unibody MacBook Pro 17""(2009 Version Early 2009 Mid-2009 Mid-2010) fits: MC226*/A MC226CH/A MC226J/A MC226LL/A MC226TA/A MC226ZP/A + Two Free Screwdrivers[Li-Polymer 7.2V/13000mAh 9-Cell]","PC",1,0,0,"N","Y","Totally wasted $60 on this battery","Totally wasted $60 on this battery.  Didn't work on my 17&#34; MBP (Mid-2009).  Went to Apple and had them replace it with their battery for an arm and a leg - but at least it worked.",2015-08-31
"21","US",394771,"RDVE5MHPKF0R8","B00NQ9X78Y",290709970,"Ionic Screen Protector for Amazon Fire HD 6"" and HD 6"" Kids Edition 2014 Film Clear (Invisible) (3-pack)[Lifetime Replacement Warranty]","PC",5,0,0,"N","Y","five start","product good",2015-08-31
"22","US",16160990,"RW9VR7UKL3E69","B00HPQ0H0K",176437370,"ARCTIC S111 USB-Powered Portable Stereo Speakers for Tablet/eReader/MP3/Computers","PC",2,0,0,"N","Y","tinny sounding","tinny weak sound",2015-08-31
"23","US",40762662,"R65UQSAULGB5","B00LCJ4HUW",331269443,"Fire HD 6","PC",5,0,0,"N","Y","Five Stars","This does everything. A very handy item to have and use",2015-08-31
"24","US",47990468,"R4DGUM9WZ1Z4O","B00M7T8T1E",863844723,"TOTMC USB 2.0 Video Capture Adapter for Windows Xp, 2000, Vista, Window 7, Window 8","PC",1,0,0,"N","Y","Do not buy, invest in a better device","Terrible product. This device has absolutely no support, I was not able to even find any digitally signed drivers to work with this device. The only thing that I could get to work was the capture software, which seemed to work fine with my webcam. You get what you pay for, invest in a better capture device if you want any results.",2015-08-31
"25","US",12246861,"R2WV71J88ERO3H","B00J082KFQ",55148922,"Case Logic BPCA-115 Berkley Plus 15.6-Inch Laptop + Tablet Backpack","PC",4,0,0,"N","Y","Slimmer laptop bag","This is pretty much what I wanted. A backpack that was slimmer than the Ful backpack I previously used. I miss the multiple zippered compartments though. I wish there were more quick access front pockets although the lumbar pocket is pretty handy so far.",2015-08-31
"26","US",1310044,"RHDN59P1ELIBY","B00HZR4FCA",74459118,"OCZ Technology Vertex 460 Series 2.5-Inch SATA III Internal Solid State Drive","PC",1,0,0,"N","Y","Bad SSD","I own a photographic studio, bought this SSD to speed up my production time but it is really disappointing that after 10 months this thing is dead!!!!<br /><br />I went and turned on the computer and Windows started crashing, and couldn't access my files. I restarted the PC went it came back there was no boot disk....<br />Took the disk out and plugged in to a enclosure and test it on another computer but it wasn't recognized.<br /><br />Thankfully I keep back ups of my WIP orders because this caused me a delay in my work delivery schedule.<br /><br />For those who are considering this SSD please consider look somewhere else, for the money paid for this thing it should lasted a year minimum!!!!",2015-08-31
"27","US",13689327,"R3BN24DMDZQMAD","B00UKPW39G",261956142,"AVANTEK Laptop Cooling Pad with 6 Speed-Adjustable Fans, Ultra Slim Notebook Cooler, Quiet Chill Mat for 9'' - 16'' Laptops, 2 USB Ports for both Data and Charging","PC",5,0,0,"N","Y","Love it.","The first couple of days, this product was kind of noisy...after that break end period, quiet as a mouse. Love it.",2015-08-31
"28","US",24755112,"R287ZTFXITCMGN","B007JRB0SS",677176816,"SanDisk SD Flash Memory Card","PC",5,0,0,"N","Y","Five Stars","Thank you",2015-08-31
"29","US",34685412,"R1LTMCKOL72U34","9875961809",982116513,"Professional Ultra SanDisk 16GB MicroSDHC Card for Samsung Galaxy S4 Active Smartphone is custom formatted for high speed, lossless recording! Includes Standard SD Adapter. (UHS-1 Class 10 Certified 30MB/sec)","PC",5,0,0,"N","Y","Five Stars","Works great to store my pics and videos!",2015-08-31
"30","US",49371791,"R1H35XHLODFTOX","B00IRV2DL8",556122164,"Sabrent 4 Port Portable USB 3.0 Hub (9.5"" cable) for Ultra Book, MacBook Air, Windows 8 Tablet PC (HB-SGAR)","PC",5,0,0,"N","Y","Five Stars","Works well...small...doesn't take up space",2015-08-31
"31","US",19589072,"R1495HVMW7K83C","B00APJCKWM",468399384,"Cmple - RJ45 CAT5 CAT5E ETHERNET LAN NETWORK CABLE","PC",5,0,0,"N","Y","Five Stars","Works great, full speed at 150Mb/s on Comcast.",2015-08-31
"32","US",17789217,"R3FYOAG9U8S9RG","B00J8E90I2",530680774,"Kingston HyperX Fury","PC",1,0,0,"N","Y","Didnt work","I didnt work in my computer. Either a compatability issue or faulty ram i couldnt say",2015-08-31
"33","US",21391478,"R190OP5OGXOF2A","B00GHBBK82",938451405,"SanDisk Ultra CompactFlash Memory Card","PC",5,0,0,"N","Y","Card is fast and works great with my Canon 7D","Card is very fast and works great. I am shooting with a canon 7D at full resolution with 18 megapixels.",2015-08-31
"34","US",12680846,"R2AG4YGHD0IB1C","B00CC47VAO",170539622,"25-PACK CF Memory Card Plastic Storage Jewel Case (memory card not included) (2 1/16"" x 1 11/16"" x 5/16"")","PC",5,0,0,"N","Y","Five Stars","Great protector case just sqeeze the sides and they pop open.",2015-08-31
"35","US",48351806,"R2RATALMIFYU7H","B00XPUU0XO",258619462,"Acer Aspire V V3-572P-326T 15-Inch Laptop (Intel i3, 6GB RAM, 1TB HDD, Windows 8.1), Platinum Silver","PC",4,0,0,"N","N","Good laptop but paid only $323 for it at Microsoft Store.","Great laptop. got it for the wife for her birthday. No issues thus far. However, we paid only $323.00 for this at the Microsoft store in June. That's $200 less than the price here. $520 is way out of line for this laptop.",2015-08-31
"36","US",5805940,"R1VPZW5K4IONOB","B001196H3S",3109240,"Crucial Technology CT25664AA800 240-pin DIMM DDR2 PC2-6400 Memory Module","PC",5,0,0,"N","Y","Excellent!!!","Excellent!!!",2015-08-31
"37","US",6348379,"R1B0GR7BIW6ZFM","B00SB4AHJG",868501171,"Lenovo Z70 (80FG00DBUS) 17.3"" Laptop","PC",5,0,1,"N","Y","Great","I love this computer. The big screen, the speed is great and the placement of the keys are good. The only issue is the finish on top of the computer is not so good because it leaves fingerprint marks.",2015-08-31
"38","US",14978645,"R1KRX2YJ0QFYH6","B00QJL5HMU",357058634,"MOTONG Samsung Galaxy Note 10.1 Glass Screen Protector [Tempered Glass Screen Protector] 0.3mm Thickness Tempered Glass Screen Protector for Samsung Galaxy Note 10.1 Inch 2014 only","PC",5,0,0,"N","Y","I had to make a few modifications as the hole ...","I had to make a few modifications as the hole for the button and the corners are not quite correct.  It took a number of fittings before it was acceptable.  Using a jewery grinder is not for the faint of heart as this is tempered glass and must be carefully worked so it does not shatter.  Shipped in a very stable container and was quickly delivered but the product could use a bit of refinement to properly fit.",2015-08-31
"39","US",32350947,"R2ZPEE94C3GPJG","B00OMSWGI0",123457801,"Charm & Magic Genuine Leather Briefcase Shoulder Business Laptop Messenger Bags Tote","PC",5,0,0,"N","Y","Great Quality Bag","I was pleased by the quality of the bag.  It is fashion forward and clean lines make it a great bag for men and women.",2015-08-31
"40","US",11129655,"R2SU1ROO1DW4FX","B00DW374W4",47129650,"USB 3.0 to SATA hard drive enclosure","PC",5,0,0,"N","Y","Five Stars","Nice little enclosure. Tool-less is a good thing",2015-08-31
"41","US",23531656,"R1DG8L9CSXXPJK","B008IFXQFU",422480840,"TP- Link Wireless USB Adapter","PC",4,0,0,"N","Y","Four Stars","It works for its price. Can't complain.",2015-08-31
"42","US",11609295,"R2LEATLCI1FNP1","B00JDVRCI0",108587939,"Panda Wireless PAU06 300Mbps N USB Adapter","PC",5,0,0,"N","Y","Five Stars","Plug and play just as the other reviews said.",2015-08-31
"43","US",46829704,"R2MYEOZLD69QJO","B00J0N0Y18",22444185,"Belkin Micro USB Adapter","PC",5,0,0,"N","Y","Good reception despite there being several walls between it and ...","Seamless installation on a Windows 7 system. Good reception despite there being several walls between it and the WiFi access point.",2015-08-31
"44","US",31894642,"RIQI58OREQUE7","B00JA6ZQ04",947356538,"JOTO - ASUS VivoTab Note 8 Tablet (Windows 8.1) Screen Protector Film Anti Glare, Anti Fingerprint (Matte Finish) with Lifetime Replacement Warranty (M80TA) (3 Pack)","PC",1,0,1,"N","Y","Doesn't fit like it should.","Bad fit for asus vivo tab, it is way bigger than the actual tablet. I ordered the right one as well because it says the right model type on the outside of packaging. Wouldn't recommend.",2015-08-31
"45","US",16618689,"R1ECKH32H06IUU","B004T299RU",371850822,"Replacement Dell 90w Ac Power Adapter for Dell Latitude E5400,latitude E5410,latitude E5500,latitude E5510,latitude E6400,latitude E6400 Atg,100% Compatible with Pa-10 Family (Black, 1)","PC",5,0,0,"N","Y","Great replacement for OEM charger.","Very reliable, better quality than what comes with the actual computer.",2015-08-31
"46","US",2701611,"R3SQFM4D091HWE","B004EBG4J2",582958308,"Eastvita MK-200 Keyboard and Case for 7-Inch Tablets(MK-200)","PC",5,0,0,"N","Y","get this","case is well made and keyboard comes in handy.",2015-08-31
"47","US",28827675,"R1PHDY2F126NRD","B00MB80WE8",763447327,"Prontotec Axius New Version 7"" Updated Android 4.4 Tablet Pc, Cortex A8 Dual Core Processor 1.2GHz, 512MB / 4GB, Dual Camera, G-sensor,Google Play Pre-loaded (Black)","PC",4,0,0,"N","Y","So affordable & worth it.","This was bought for my 5yr old. His class uses an online program for schoolwork. It is very thin and lightweight. We keep it a leather folio cover. It is very easy for him to use, Except, he doesn't always remember to hold the power button down to turn it on. We bought one in black and one in blue. They're both a great affordable option.",2015-08-31
"48","US",47012791,"R3ILJ0GC2105AV","B00KT1HL5M",979894134,"Fintie Samsung Galaxy Tab 4 10.1 SmartShell","PC",5,0,0,"N","Y","Five Stars","Love",2015-08-31
"49","US",18382586,"RM7WHMA7RL279","B00B0N29G4",243601768,"MoKo Slim Fit Cover Case for iPad Air Parent.","PC",5,0,0,"N","Y","Just what we wanted!","Fits on my Dad's iPad well. He loves it. It feels like it was made pretty sturdy and the hand strap comes in handy.",2015-08-31
"50","US",29604302,"R990NXDP7C936","B009L93Q34",863748379,"Hydra Performance® Controller for Nintendo GameCube Wired Gamepad BLACK","PC",3,0,1,"N","Y","Average for cheap","performs as expected for a generic controll and for the cheap price. when used in games such as super smash bros, you'll encounter big difference with the originals if playing at a relative competitive manner. but gets the job done for casual play",2015-08-31
"51","US",121609,"R9GYKTMBT2LLT","B003NR57BY",617352447,"Logitech  Wireless Mouse","PC",5,0,0,"N","N","good","Good mouse",2015-08-31
"52","US",2458704,"R1FGUS6XWRK1EY","B00G3LM8T6",845373178,"Pwr+ 65W Laptop AC Adapter with 14 Feet Charger Power-Cord for Lenovo B40 B50","PC",4,0,0,"N","Y","Right fit","Perfect compatibility.",2015-08-31
"53","US",41783537,"R1WFW1V4MYKNZC","B00K8GZED4",82850235,"iXCC Multi pack Lightning cable","PC",1,0,0,"N","Y","Works 30% of the time. iPad stops charging with ...","Works 30% of the time.  iPad stops charging with a &#34;Device not supported&#34; error.",2015-08-31
"54","US",38147176,"R3L0QLMOLW2GN6","B0091L3NS0",83834149,"8GB Kit (4GBx2) Upgrade for a Apple MacBook Pro (13-inch, Late 2011) System (DDR3 PC3-10600, NON-ECC, )","PC",4,1,1,"N","Y","Memory for Macbook Pro late 2011","It took a week to get it delivered but it kit was new and worked great.",2015-08-31
"55","US",51040665,"REPEJL7JZYDPB","B00KT7DOSE",136056530,"SanDisk Extreme USB 3.0 Flash Drive With Speed Up To 245MB/s-SDCZ80-016G-GAM46","PC",5,0,0,"N","Y","Really, Really Fast!!","I will chime in to say that I have seen the same write/transfer speeds that other reviewers have posted. The drive might be a tad larger than some other flash drives, but the speed is several times faster than my other value-priced models. When transferring video files or a large collection of vacation photos, this drive turns a 15-minute task into a 30-second breeze.",2015-08-31
"56","US",48701722,"R7ER63LS7Q1O5","B00RXEWOAA",540891596,"3.5"" USB External Floppy Disk Drive Portable 1.44 MB FDD for PC Windows 2000/XP/Vista/7/8/10,for Mac,No Extra Driver Required,Plug and Play,Black","PC",5,0,0,"N","Y","Five Stars","Love it",2015-08-31
"57","US",148662,"R225Y10RRDV5H5","B00X3Z4KXW",510110347,"BMOUO KCC036 Samsung Tab A 9.7 Keyboard or Case","PC",3,0,3,"N","Y","Bought it for someone. It looked okay. Cant ...","Bought it for someone. It looked okay. Cant comment on its functionality as I am not the one using it.",2015-08-31
"58","US",37018693,"R2QEQK2UHCZSFZ","B01065S79E",268745989,"Seagate Game Drive for Xbox SSD (STFT512400)","PC",4,2,2,"Y","N","Lacking instructions, but a great looking, functional add-on for any Xbox","I still recall the day I upgraded my 20GB Xbox 360 HD with a 100GB HD and thinking, &#34;There, now I'll never have to worry about storage again.&#34; Fast forward 4 years, lots of Rock Band DLC and the ability to store full games to the HD and I find myself at about 90% full. Enter the Seagate 2TB drive. Now I can have that feeling again of, &#34;There, now I'll never have to worry about storage again.&#34;<br /><br />This Seagate game drive seems to be a pretty typical 2TB hard drive, priced similar to other 2TB drives, but with officially licensed Xbox One or Xbox 360 compatibility and design. When you consider the basic Xbox One 500GB console is currently priced around $350 and the newer 1 TB model is about $400, you could get the 500GB model and one of these drives (currently $100) and spend about $450 and have a total of 2.5 TB of storage. Basically, an extra 1.5 TB for an extra $50, which isn't a bad deal. Of course, you have to consider your current usage and potential future storage needs.<br /><br />The main thing I think it lacks is a little more in the way of instructions for transferring data from the console to the drive. While it wasn't that difficult for me to figure out, it might be a little more challenging for a parent who is not as up to speed on how these work. Especially considering it is an officially licensed Xbox product, it was surprising there was little more than a short pamphlet describing the drive's features included. I wish it would have gone into more detail about how it handles in-game DLC licensing content vs game content. It was not the most user friendly in that regard. I finished transferring data and wasn't positive if I was going to be able to play with DLC once it was moved to the drive (I was). A little more clarity in what it would and would not transfer would have been helpful as well as explanation on what you need to do if you use it on an Xbox 360, then upgrade to the Xbox One. I plan to do this in a few weeks, so I mayupdate the review if I hit any other snags in that process.",2015-08-31
"59","US",44244534,"R35DVC7RZ8BLA0","B00B6KXKKA",584211335,"HP Envy Sleekbook 6-1010US 6-1014NR 6-1017CL 6Z-1000 Laptop AC Adapter Charger Power Cord","PC",5,0,0,"N","Y","Five Stars","Works",2015-08-31
"60","US",20961846,"R1F854X0L51448","B00ZWUEN10",684076400,"Botetrade Children School Backpack Bags for Primary Girls Students PU Leather Bow","PC",5,0,0,"N","Y","Good deal","Very happy and totally satisfied with this purchase. A good quality and a perfect size  !",2015-08-31
"61","US",6241527,"R3VJD0CKJ1OI4F","B003HHK58U",188909702,"StarTech.com USB Y Cable for External Hard Drive","PC",5,0,0,"N","Y","Five Stars","Works!",2015-08-31
"62","US",45003190,"R1II85ETIHO6VK","B001MNTVNQ",178273423,"Original Microsoft Xbox 360 Power Supply AC Adapter 203W","PC",1,1,1,"N","Y","One Star","Not the Xbox 360 power supply",2015-08-31
"63","US",2359062,"R3LY922RKQEH72","B008QS7Z2Y",59900595,"Logitech Classic K100 Keyboard. K100 KEYBOARD PS2 CLASSIC KEYBOARD KEYB. WiredPS/2 - English - PC","PC",4,1,1,"N","Y","Great Keyboard for the Price","I use this keyboard as a keyboard for my test bench (Where I work on computers to repair them) and it works great! They keys are a bit mushy and close to the edge but overall for the price this keyboard is great. The plastic is high quality and so are the key caps and connector. Would buy again if I ever needed anything like it.",2015-08-31
"64","US",52929769,"R37IANVKK3ZZUU","B004VDR37K",116577070,"NETGEAR N150 Wi-Fi USB Micro Adapter","PC",3,0,0,"N","N","Buggy with Window 8. PC fails to recognize the ...","Buggy with Window 8.  PC fails to recognize the unit.  Also, software from Netgear took a long time to install.<br />I'm back to using my old 2Wire/Panda model.",2015-08-31
"65","US",45421873,"R3Q8L27DJ77DGL","B00KV9R3FA",844121897,"GPRS GSM 3G 4G LTE TS9 plug 35dBi antenna 2M cable 791-2690MHz E5776 E392 E398","PC",1,0,0,"N","Y","No appreciable increase in signal strength","No appreciable increase in signal strength",2015-08-31
"66","US",19280847,"RAYGOWHX4H47","B001J226JQ",210607495,"Generic USB to 9-pin Serial Port Adapter","PC",5,0,0,"N","Y","Five Stars","perfect",2015-08-31
