"","X","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_date","word","sentiment"
"137",137,"US",50728290,"R23AICGEDAJQL1","B0098Y77OG",177098042,"Acer","PC",1,0,0,"N","Y","You get what you pay for","2015-08-31","money","positive"
"140",140,"US",50728290,"R23AICGEDAJQL1","B0098Y77OG",177098042,"Acer","PC",1,0,0,"N","Y","You get what you pay for","2015-08-31","decent","positive"
"141",141,"US",37802374,"R2EY3N4K9W19UP","B00IFYEYXC",602496520,"AzureWave Broadcom BCM94352HMB 802.11/ac/867Mbps WLAN + BT4.0 Half Mini PCI-E","PC",5,3,4,"N","Y","Great for Windows 7 Laptop!","2015-08-31","major","positive"
"142",142,"US",37802374,"R2EY3N4K9W19UP","B00IFYEYXC",602496520,"AzureWave Broadcom BCM94352HMB 802.11/ac/867Mbps WLAN + BT4.0 Half Mini PCI-E","PC",5,3,4,"N","Y","Great for Windows 7 Laptop!","2015-08-31","acquire","positive"
"143",143,"US",37802374,"R2EY3N4K9W19UP","B00IFYEYXC",602496520,"AzureWave Broadcom BCM94352HMB 802.11/ac/867Mbps WLAN + BT4.0 Half Mini PCI-E","PC",5,3,4,"N","Y","Great for Windows 7 Laptop!","2015-08-31","stable","positive"
"148",148,"US",37802374,"R2EY3N4K9W19UP","B00IFYEYXC",602496520,"AzureWave Broadcom BCM94352HMB 802.11/ac/867Mbps WLAN + BT4.0 Half Mini PCI-E","PC",5,3,4,"N","Y","Great for Windows 7 Laptop!","2015-08-31","hell","negative"
"150",150,"US",37802374,"R2EY3N4K9W19UP","B00IFYEYXC",602496520,"AzureWave Broadcom BCM94352HMB 802.11/ac/867Mbps WLAN + BT4.0 Half Mini PCI-E","PC",5,3,4,"N","Y","Great for Windows 7 Laptop!","2015-08-31","junk","negative"
"154",154,"US",37802374,"R2EY3N4K9W19UP","B00IFYEYXC",602496520,"AzureWave Broadcom BCM94352HMB 802.11/ac/867Mbps WLAN + BT4.0 Half Mini PCI-E","PC",5,3,4,"N","Y","Great for Windows 7 Laptop!","2015-08-31","terrible","negative"
"158",158,"US",52027882,"RC9AW4HKJ016M","B0091ITP0S",977217357,"HDE Rotating iPad Case Magnetic Folding Leather Cover Folio Flip Stand for Apple iPad 2 iPad 3 iPad 4 (Purple Embossed)","PC",1,0,0,"N","Y","One Star","2015-08-31","cracked","negative"
"161",161,"US",41770239,"R2ALWJE9N6ZBXD","B008I21EA2",295632907,"Linksys AC1750 Wi-Fi Wireless Dual-Band+ Router with Gigabit, Smart Wi-Fi App Enabled to Control Your Network from Anywhere (EA6500)","PC",1,0,0,"N","N","Very Disappointed","2015-08-31","disappointed","negative"
"165",165,"US",41770239,"R2ALWJE9N6ZBXD","B008I21EA2",295632907,"Linksys AC1750 Wi-Fi Wireless Dual-Band+ Router with Gigabit, Smart Wi-Fi App Enabled to Control Your Network from Anywhere (EA6500)","PC",1,0,0,"N","N","Very Disappointed","2015-08-31","default","negative"
"170",170,"US",46345923,"R1IKTSEVXSIMOD","B00LLER2CS",997551273,"SanDisk 16GB CZ43 Ultra Fit Series USB 3.0 Flash Drive (SDCZ43-016G-G46)","PC",5,0,0,"N","Y","The encryption software that comes preloaded is really easy to use","2015-08-31","bonus","positive"
"172",172,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","acceptable","positive"
"175",175,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","star","positive"
"180",180,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","wireless","positive"
"185",185,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","default","negative"
"192",192,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","damage","negative"
"196",196,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","upset","negative"
"198",198,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","spent","negative"
"199",199,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","cheap","negative"
"202",202,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","wireless","positive"
"207",207,"US",41751192,"R2YA6G6SRFEWF6","B00B0CQCCC",937999925,"TRENDnet Wireless AC1750 Dual Band Gigabit Router with USB Share Port, TEW-812DRU Version 2.1","PC",1,0,1,"N","Y","Didn't last 2 years.","2015-08-31","star","positive"
"209",209,"US",21176481,"RS9H1N9I3Z1IA","B00GU8W5AE",13865167,"Redragon M901 PERDITION 16400 DPI High-Precision Programmable Laser Gaming Mouse for PC, MMO, 18 Programmable Buttons, Weight Tuning Cartridge, 12 Side Buttons, 5 programmable user profiles, Omron Micro Switches (White)","PC",5,0,0,"N","Y","Awesome gaming mouse","2015-08-31","cool","positive"
"212",212,"US",21176481,"RS9H1N9I3Z1IA","B00GU8W5AE",13865167,"Redragon M901 PERDITION 16400 DPI High-Precision Programmable Laser Gaming Mouse for PC, MMO, 18 Programmable Buttons, Weight Tuning Cartridge, 12 Side Buttons, 5 programmable user profiles, Omron Micro Switches (White)","PC",5,0,0,"N","Y","Awesome gaming mouse","2015-08-31","perfect","positive"
"215",215,"US",43341796,"R2NJ3WFUS4E5G6","B00YGJJQ6U",986548413,"Fintie iPad Air 2 Case (2014 Release) - 360 Degree Rotating Stand Protective Case Smart Cover with Auto Sleep / Wake Feature","PC",4,0,0,"N","Y","Great choices of covers but no Auto-shut off or on","2015-08-31","love","positive"
"218",218,"US",43341796,"R2NJ3WFUS4E5G6","B00YGJJQ6U",986548413,"Fintie iPad Air 2 Case (2014 Release) - 360 Degree Rotating Stand Protective Case Smart Cover with Auto Sleep / Wake Feature","PC",4,0,0,"N","Y","Great choices of covers but no Auto-shut off or on","2015-08-31","pretty","positive"
"220",220,"US",43341796,"R2NJ3WFUS4E5G6","B00YGJJQ6U",986548413,"Fintie iPad Air 2 Case (2014 Release) - 360 Degree Rotating Stand Protective Case Smart Cover with Auto Sleep / Wake Feature","PC",4,0,0,"N","Y","Great choices of covers but no Auto-shut off or on","2015-08-31","inactivity","negative"
"222",222,"US",13232866,"R21PTQNLGCBN0I","B00XMN20Y6",873354048,"Fintie iPad 2/3/4 Case - Slim Fit Folio Case with Smart Cover Auto Sleep / Wake Feature for Apple iPad 2, iPad 3 & iPad 4th Generation with Retina Display - Floral Fan Purple","PC",5,0,0,"N","Y","Five Stars","2015-08-31","love","positive"
"225",225,"US",29333557,"R3G4RT3EQ9RSY7","B00MA40W9I",535866197,"Egoway® New Laptop Battery for Apple A1309 A1297 Unibody MacBook Pro 17""(2009 Version Early 2009 Mid-2009 Mid-2010) fits: MC226*/A MC226CH/A MC226J/A MC226LL/A MC226TA/A MC226ZP/A + Two Free Screwdrivers[Li-Polymer 7.2V/13000mAh 9-Cell]","PC",1,0,0,"N","Y","Totally wasted $60 on this battery","2015-08-31","wasted","negative"
"227",227,"US",29333557,"R3G4RT3EQ9RSY7","B00MA40W9I",535866197,"Egoway® New Laptop Battery for Apple A1309 A1297 Unibody MacBook Pro 17""(2009 Version Early 2009 Mid-2009 Mid-2010) fits: MC226*/A MC226CH/A MC226J/A MC226LL/A MC226TA/A MC226ZP/A + Two Free Screwdrivers[Li-Polymer 7.2V/13000mAh 9-Cell]","PC",1,0,0,"N","Y","Totally wasted $60 on this battery","2015-08-31","battery","negative"
"229",229,"US",29333557,"R3G4RT3EQ9RSY7","B00MA40W9I",535866197,"Egoway® New Laptop Battery for Apple A1309 A1297 Unibody MacBook Pro 17""(2009 Version Early 2009 Mid-2009 Mid-2010) fits: MC226*/A MC226CH/A MC226J/A MC226LL/A MC226TA/A MC226ZP/A + Two Free Screwdrivers[Li-Polymer 7.2V/13000mAh 9-Cell]","PC",1,0,0,"N","Y","Totally wasted $60 on this battery","2015-08-31","battery","negative"
"230",230,"US",40762662,"R65UQSAULGB5","B00LCJ4HUW",331269443,"Fire HD 6","PC",5,0,0,"N","Y","Five Stars","2015-08-31","handy","positive"
"234",234,"US",47990468,"R4DGUM9WZ1Z4O","B00M7T8T1E",863844723,"TOTMC USB 2.0 Video Capture Adapter for Windows Xp, 2000, Vista, Window 7, Window 8","PC",1,0,0,"N","Y","Do not buy, invest in a better device","2015-08-31","terrible","negative"
"236",236,"US",47990468,"R4DGUM9WZ1Z4O","B00M7T8T1E",863844723,"TOTMC USB 2.0 Video Capture Adapter for Windows Xp, 2000, Vista, Window 7, Window 8","PC",1,0,0,"N","Y","Do not buy, invest in a better device","2015-08-31","capture","negative"
"239",239,"US",47990468,"R4DGUM9WZ1Z4O","B00M7T8T1E",863844723,"TOTMC USB 2.0 Video Capture Adapter for Windows Xp, 2000, Vista, Window 7, Window 8","PC",1,0,0,"N","Y","Do not buy, invest in a better device","2015-08-31","pay","positive"
"241",241,"US",47990468,"R4DGUM9WZ1Z4O","B00M7T8T1E",863844723,"TOTMC USB 2.0 Video Capture Adapter for Windows Xp, 2000, Vista, Window 7, Window 8","PC",1,0,0,"N","Y","Do not buy, invest in a better device","2015-08-31","capture","negative"
"244",244,"US",12246861,"R2WV71J88ERO3H","B00J082KFQ",55148922,"Case Logic BPCA-115 Berkley Plus 15.6-Inch Laptop + Tablet Backpack","PC",4,0,0,"N","Y","Slimmer laptop bag","2015-08-31","pretty","positive"
"248",248,"US",12246861,"R2WV71J88ERO3H","B00J082KFQ",55148922,"Case Logic BPCA-115 Berkley Plus 15.6-Inch Laptop + Tablet Backpack","PC",4,0,0,"N","Y","Slimmer laptop bag","2015-08-31","pretty","positive"
"250",250,"US",12246861,"R2WV71J88ERO3H","B00J082KFQ",55148922,"Case Logic BPCA-115 Berkley Plus 15.6-Inch Laptop + Tablet Backpack","PC",4,0,0,"N","Y","Slimmer laptop bag","2015-08-31","handy","positive"
"252",252,"US",1310044,"RHDN59P1ELIBY","B00HZR4FCA",74459118,"OCZ Technology Vertex 460 Series 2.5-Inch SATA III Internal Solid State Drive","PC",1,0,0,"N","Y","Bad SSD","2015-08-31","production","positive"
"254",254,"US",1310044,"RHDN59P1ELIBY","B00HZR4FCA",74459118,"OCZ Technology Vertex 460 Series 2.5-Inch SATA III Internal Solid State Drive","PC",1,0,0,"N","Y","Bad SSD","2015-08-31","disappointing","negative"
"259",259,"US",1310044,"RHDN59P1ELIBY","B00HZR4FCA",74459118,"OCZ Technology Vertex 460 Series 2.5-Inch SATA III Internal Solid State Drive","PC",1,0,0,"N","Y","Bad SSD","2015-08-31","delay","negative"
"262",262,"US",1310044,"RHDN59P1ELIBY","B00HZR4FCA",74459118,"OCZ Technology Vertex 460 Series 2.5-Inch SATA III Internal Solid State Drive","PC",1,0,0,"N","Y","Bad SSD","2015-08-31","delivery","positive"
"266",266,"US",1310044,"RHDN59P1ELIBY","B00HZR4FCA",74459118,"OCZ Technology Vertex 460 Series 2.5-Inch SATA III Internal Solid State Drive","PC",1,0,0,"N","Y","Bad SSD","2015-08-31","money","positive"
"269",269,"US",1310044,"RHDN59P1ELIBY","B00HZR4FCA",74459118,"OCZ Technology Vertex 460 Series 2.5-Inch SATA III Internal Solid State Drive","PC",1,0,0,"N","Y","Bad SSD","2015-08-31","minimum","negative"
"271",271,"US",13689327,"R3BN24DMDZQMAD","B00UKPW39G",261956142,"AVANTEK Laptop Cooling Pad with 6 Speed-Adjustable Fans, Ultra Slim Notebook Cooler, Quiet Chill Mat for 9'' - 16'' Laptops, 2 USB Ports for both Data and Charging","PC",5,0,0,"N","Y","Love it.","2015-08-31","noisy","negative"
"273",273,"US",13689327,"R3BN24DMDZQMAD","B00UKPW39G",261956142,"AVANTEK Laptop Cooling Pad with 6 Speed-Adjustable Fans, Ultra Slim Notebook Cooler, Quiet Chill Mat for 9'' - 16'' Laptops, 2 USB Ports for both Data and Charging","PC",5,0,0,"N","Y","Love it.","2015-08-31","quiet","positive"
"276",276,"US",13689327,"R3BN24DMDZQMAD","B00UKPW39G",261956142,"AVANTEK Laptop Cooling Pad with 6 Speed-Adjustable Fans, Ultra Slim Notebook Cooler, Quiet Chill Mat for 9'' - 16'' Laptops, 2 USB Ports for both Data and Charging","PC",5,0,0,"N","Y","Love it.","2015-08-31","love","positive"
"278",278,"US",34685412,"R1LTMCKOL72U34","9875961809",982116513,"Professional Ultra SanDisk 16GB MicroSDHC Card for Samsung Galaxy S4 Active Smartphone is custom formatted for high speed, lossless recording! Includes Standard SD Adapter. (UHS-1 Class 10 Certified 30MB/sec)","PC",5,0,0,"N","Y","Five Stars","2015-08-31","store","positive"
"279",279,"US",17789217,"R3FYOAG9U8S9RG","B00J8E90I2",530680774,"Kingston HyperX Fury","PC",1,0,0,"N","Y","Didnt work","2015-08-31","faulty","negative"
"282",282,"US",17789217,"R3FYOAG9U8S9RG","B00J8E90I2",530680774,"Kingston HyperX Fury","PC",1,0,0,"N","Y","Didnt work","2015-08-31","ram","negative"
"285",285,"US",21391478,"R190OP5OGXOF2A","B00GHBBK82",938451405,"SanDisk Ultra CompactFlash Memory Card","PC",5,0,0,"N","Y","Card is fast and works great with my Canon 7D","2015-08-31","shooting","negative"
"286",286,"US",12680846,"R2AG4YGHD0IB1C","B00CC47VAO",170539622,"25-PACK CF Memory Card Plastic Storage Jewel Case (memory card not included) (2 1/16"" x 1 11/16"" x 5/16"")","PC",5,0,0,"N","Y","Five Stars","2015-08-31","protector","positive"
"288",288,"US",12680846,"R2AG4YGHD0IB1C","B00CC47VAO",170539622,"25-PACK CF Memory Card Plastic Storage Jewel Case (memory card not included) (2 1/16"" x 1 11/16"" x 5/16"")","PC",5,0,0,"N","Y","Five Stars","2015-08-31","pop","negative"
"292",292,"US",48351806,"R2RATALMIFYU7H","B00XPUU0XO",258619462,"Acer Aspire V V3-572P-326T 15-Inch Laptop (Intel i3, 6GB RAM, 1TB HDD, Windows 8.1), Platinum Silver","PC",4,0,0,"N","N","Good laptop but paid only $323 for it at Microsoft Store.","2015-08-31","birthday","positive"
"295",295,"US",48351806,"R2RATALMIFYU7H","B00XPUU0XO",258619462,"Acer Aspire V V3-572P-326T 15-Inch Laptop (Intel i3, 6GB RAM, 1TB HDD, Windows 8.1), Platinum Silver","PC",4,0,0,"N","N","Good laptop but paid only $323 for it at Microsoft Store.","2015-08-31","store","positive"
"297",297,"US",5805940,"R1VPZW5K4IONOB","B001196H3S",3109240,"Crucial Technology CT25664AA800 240-pin DIMM DDR2 PC2-6400 Memory Module","PC",5,0,0,"N","Y","Excellent!!!","2015-08-31","excellent","positive"
"300",300,"US",6348379,"R1B0GR7BIW6ZFM","B00SB4AHJG",868501171,"Lenovo Z70 (80FG00DBUS) 17.3"" Laptop","PC",5,0,1,"N","Y","Great","2015-08-31","love","positive"
"302",302,"US",6348379,"R1B0GR7BIW6ZFM","B00SB4AHJG",868501171,"Lenovo Z70 (80FG00DBUS) 17.3"" Laptop","PC",5,0,1,"N","Y","Great","2015-08-31","top","positive"
"304",304,"US",14978645,"R1KRX2YJ0QFYH6","B00QJL5HMU",357058634,"MOTONG Samsung Galaxy Note 10.1 Glass Screen Protector [Tempered Glass Screen Protector] 0.3mm Thickness Tempered Glass Screen Protector for Samsung Galaxy Note 10.1 Inch 2014 only","PC",5,0,0,"N","Y","I had to make a few modifications as the hole ...","2015-08-31","acceptable","positive"
"305",305,"US",14978645,"R1KRX2YJ0QFYH6","B00QJL5HMU",357058634,"MOTONG Samsung Galaxy Note 10.1 Glass Screen Protector [Tempered Glass Screen Protector] 0.3mm Thickness Tempered Glass Screen Protector for Samsung Galaxy Note 10.1 Inch 2014 only","PC",5,0,0,"N","Y","I had to make a few modifications as the hole ...","2015-08-31","tempered","positive"
"306",306,"US",14978645,"R1KRX2YJ0QFYH6","B00QJL5HMU",357058634,"MOTONG Samsung Galaxy Note 10.1 Glass Screen Protector [Tempered Glass Screen Protector] 0.3mm Thickness Tempered Glass Screen Protector for Samsung Galaxy Note 10.1 Inch 2014 only","PC",5,0,0,"N","Y","I had to make a few modifications as the hole ...","2015-08-31","carefully","positive"
